order_id,order_date,customer_age,gender,country,category,payment_method,quantity,unit_price,total_amount,discount_pct,is_member,rating,shipping_days,status
1,2024-10-19,42,F,DE,Home,PayPal,1,262.14,262.14,0,false,,11,delivered
2,2024-07-23,40,F,GB,Grocery,Card,4,7.15,17.16,40,false,3,12,cancelled
3,2024-03-07,31,M,KR,Clothing,Card,1,14.33,14.33,0,false,4,3,delivered
4,2024-08-06,34,M,JP,Clothing,Crypto,3,83.36,250.08,0,false,4,8,delivered
5,2024-03-04,34,M,JP,Grocery,Card,1,16.54,16.54,0,true,1,12,pending
6,2024-08-05,42,M,GB,Sports,BankTransfer,1,134.73,134.73,0,false,4,6,delivered
7,2024-07-31,42,M,US,Beauty,PayPal,10,71.35,649.28,9,true,5,5,delivered
8,2024-09-28,35,F,DE,Sports,PayPal,6,88.54,281.56,47,true,4,1,delivered
9,2024-11-09,43,M,JP,Home,PayPal,5,296.36,1481.8,0,true,3,2,delivered
10,2024-10-05,41,M,US,Clothing,Card,1,127.98,127.98,0,true,3,10,delivered
11,2024-12-29,41,M,CA,Grocery,GiftCard,4,14.68,58.72,0,false,5,13,delivered
12,2024-07-13,39,F,KR,Home,Card,3,179.89,539.67,0,false,4,7,delivered
13,2024-10-15,38,F,KR,Grocery,BankTransfer,3,12.75,38.25,0,true,4,5,delivered
14,2024-10-24,38,F,US,Books,Card,3,37.25,111.75,0,false,3,7,delivered
15,2024-11-17,37,M,IN,Books,PayPal,5,37.37,186.85,0,false,2,9,delivered
16,2024-09-27,43,F,FR,Beauty,Card,6,26.12,156.72,0,false,3,6,delivered
17,2024-11-05,39,F,JP,Electronics,Card,4,783.89,3135.56,0,false,2,14,delivered
18,2024-08-12,35,Other,DE,Electronics,Card,1,448.01,448.01,0,true,2,2,shipped
19,2024-08-21,52,M,CA,Sports,Card,1,199.13,199.13,0,false,5,9,shipped
20,2024-03-31,36,F,US,Home,Card,4,139.82,559.28,0,true,3,7,delivered
